2026-02-14 11:01:29.535 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:01:29.603 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:01:29.627 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:01:29.640 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:01:29.640992
2026-02-14 11:01:29.655 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:01:29.870 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 11:02:23.831 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:02:23.840 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:02:23.854 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:02:23.855 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:02:23.896 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:02:23.929 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:02:23.948 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:02:23.948406
2026-02-14 11:02:23.975 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:02:24.274 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:02:24.299 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:02:24.307 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 11:02:24.342 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:02:24.410 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:02:24.508 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:02:24.591 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:02:24.652 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:02:24.652404
2026-02-14 11:02:24.707 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:02:25.512 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
